path	text
wav/916c1e46-ze-namen-mit-n-dikke-smok-ofschaaid-van-jonker.wav	ze namen mit n dikke smok ofschaaid van jonker
wav/0a4ee0e6-van-de-schoel-noar-de-bomen-veur-t-schoelplein-hing-t-ien-n-ogenblikje-tied-vol-met-slingers-van-pepier.wav	van de schoel noar de bomen veur t schoelplein hing t ien n ogenblikje tied vol met slingers van pepier
wav/f1c16c59-opa-lagde-nait.wav	opa lagde nait
wav/916c1e46-mor-gain-spoor-van-n-doader-vanzulf.wav	mor gain spoor van n doader vanzulf
wav/916c1e46-vraauwen-mit-laange-widde-klaiden-aan.wav	vraauwen mit laange widde klaiden aan
wav/916c1e46-dat-wos-ze-nait-zeker.wav	dat wos ze nait zeker
wav/f1c16c59-wiert-ging-mit-klaaine-stappies-noar-de-keunk-tou.wav	wiert ging mit klaaine stappies noar de keunk tou
wav/0a4ee0e6-ien-die-tied-ging-der-gien-een-doef-ien-en-der-kwam-ok-gien-een-uut.wav	ien die tied ging der gien een doef ien en der kwam ok gien een uut
wav/0a4ee0e6-al-wel-n-haalf-uur-hadden-ze-der-zeten.wav	al wel n haalf uur hadden ze der zeten
wav/f1c16c59-binnen-twij-tellen-lag-e-zulf-ook-in-zien-waarme-nussie.wav	binnen twij tellen lag e zulf ook in zien waarme nussie
wav/916c1e46-bist-doe-gek.wav	bist doe gek
wav/916c1e46-en-pebaaierde-jonker-aan-te-hoalen.wav	en pebaaierde jonker aan te hoalen
wav/f1c16c59-op-n-flewailen-kuzzentje-lag-n-golden-medallie-aan-n-rood-zieden-lint.wav	op n flewailen kuzzentje lag n golden medallie aan n rood zieden lint
wav/916c1e46-dat-liekt-ja-haildaal-nait.wav	dat liekt ja haildaal nait
wav/916c1e46-dat-ze-ook-wel-noar-boeten-konden.wav	dat ze ook wel noar boeten konden
wav/916c1e46-t-is-net-of-ze-mie-aankieken.wav	t is net of ze mie aankieken
wav/916c1e46-t-zol-din-mor-n-koale-boudel-worden.wav	t zol din mor n koale boudel worden
wav/916c1e46-wat-zol-ze-doun.wav	wat zol ze doun
wav/916c1e46-niks-te-zain-vanzulf.wav	niks te zain vanzulf
